charger_id,longitude,latitude,site,total_duration,total_volume,avg_power
609aecaba5c7541d9625d1ee,-46.676996,-23.601922,0,2046.4166666666656,15143.483333333334,7.400000000000005
609aed5ea5c7541d9625f903,-46.676065,-23.601637,1,1818.3333333333326,13455.666666666668,7.400000000000003
60be6761767a8917d29b7c54,-46.6865861514,-23.6255339721,2,1589.6249999999993,34971.75,22.000000000000007
60cb9129767a8917d25ce5a1,-46.6903472431,-23.5981308405,3,2272.333333333332,49991.33333333333,22.000000000000007
60cbc8df767a8917d2604f9d,-46.62031653023333,-23.554414115700002,4,0.0,0.0,0.0
60cbcc3b767a8917d2608dbc,-46.6612740814,-23.5703078884,5,1492.3333333333328,32831.33333333333,22.000000000000007
60d0d04d767a8917d2af91ee,-46.7311416743,-23.5410468212,6,1436.791666666666,31609.416666666664,22.00000000000001
60d0d156767a8917d2afae03,-46.7249511219,-23.5841361852,7,1707.2499999999993,37559.5,22.000000000000007
60dcc790767a8917d27f734b,-46.722238937499995,-23.5506453687,8,2959.999999999999,65119.99999999999,22.000000000000007
60e4c9db33db984fa2ca59bf,-46.599,-23.57241,9,0.0,0.0,0.0
60e4ca3c33db984fa2ca6c7a,-46.6,-23.5735,10,729.9999999999995,5402.000000000002,7.400000000000005
6111815a645c245c3fb03ee4,-46.67683643,-23.58528567,11,1513.2539087774387,11198.078924953054,7.400000000000005
6111affc645c245c3fb76128,-46.601,-23.57241,12,729.9999999999995,5402.000000000002,7.400000000000005
6111b033645c245c3fb77377,-46.6005,-23.57241,13,729.9999999999995,16059.999999999996,22.000000000000004
6111b4ec645c245c3fb825c0,-46.6,-23.57241,14,729.9999999999995,5402.000000000002,7.400000000000005
6111b533645c245c3fb83a6f,-46.601,-23.5735,15,729.9999999999995,5402.000000000002,7.400000000000005
6111b569645c245c3fb84d42,-46.599,-23.5735,16,729.9999999999995,5402.000000000002,7.400000000000005
612b605b63812205431c3e91,-46.6891148879,-23.5747088158,17,1908.6666666666656,14124.133333333333,7.400000000000005
613f8ee57bbb997559359f52,-46.6968739449,-23.6118867382,18,2285.958333333332,16916.091666666667,7.400000000000004
618b033e9cf248533e844d94,-46.69007632485,-23.577945028450003,19,4581.333333333332,100789.33333333333,22.000000000000004
618b038e9cf248533e845a18,-46.68985240995,-23.57833924335,20,4071.999999999998,30132.800000000003,7.400000000000005
61b0f4f7b36a1f7b3bab1c60,-46.6794198425,-23.5833235205,21,2007.2083333333326,14853.341666666667,7.400000000000005
6226415ff9afe9370ed3748b,-46.7210492326,-23.6387237018,22,1499.416666666666,32987.166666666664,22.000000000000004
6241e35a09320802c998d5c1,-46.6974334441,-23.6127331322,23,2291.1666666666656,16954.633333333335,7.400000000000005
6241e5a509320802c9997d56,-46.7160554055,-23.6333352808,24,2342.249999999999,51529.5,22.000000000000007
6241e64b09320802c999acac,-46.7161203582,-23.6340000326,25,1620.9166666666658,35660.16666666667,22.00000000000001
6257409af6e87b02c9451a51,-46.6373712833,-23.5931539261,26,1316.594274580335,9742.797631894486,7.400000000000005
628d1b9c480021215ea94ac2,-46.6765007208,-23.59868537,27,4504.291666666666,33331.758333333346,7.400000000000001
6291244301034f32ae699bf8,-46.672044,-23.513187,28,4607.249999999998,230362.49999999994,50.0
629511c2522b8b29ab661d0b,-46.731663741,-23.529917508,29,1467.3930998275166,10858.70893872363,7.400000000000006
629a898e8a1eea6911a0e4bd,-46.672436988,-23.5609782598,30,0.0,0.0,0.0
629a89ff8a1eea6911a0f046,-46.6722948309,-23.5611638845,30,0.0,0.0,0.0
62a378952a535e537bbd2b90,-46.6775013295,-23.5930153175,31,0.0,0.0,0.0
62b607d9ac45b919dca8d330,-46.692031876,-23.5697017338,32,2501.2916666666656,18509.558333333334,7.400000000000005
62b60b03ac45b919dca94675,-46.6461032428,-23.5705745915,33,1824.499999999999,13501.300000000001,7.400000000000006
62b60b5cac45b919dca95367,-46.6459025073,-23.5703761322,33,1729.4142664865537,12797.665572000507,7.400000000000006
62c424675b50546d39af92e7,-46.6518714652,-23.5674715424,34,2147.124999999999,47236.75,22.000000000000007
62c424ef5b50546d39afa6ea,-46.6515394998,-23.5677774275,35,1702.5833333333326,37456.83333333333,22.000000000000007
62c426e55b50546d39aff221,-46.6960015722,-23.5752536254,36,590.3970231458788,4370.796014757767,7.404807330237233
62c464065499df2cfc41c652,-46.6728071218,-23.5843969162,37,0.0,0.0,0.0
62c84598f38c1514925e24ee,-46.6853103648,-23.5310004013,38,0.0,0.0,0.0
62cf6d4df81cad490ccd9fb4,-46.6806133758,-23.5485232991,39,729.9999999999995,5402.000000000002,7.400000000000005
62f14a3012dfba21456a270a,-46.6843797937,-23.5647244522,40,2042.3749999999993,15113.575,7.400000000000005
62fc074ba8cd540911bd9eed,-46.7036006436,-23.5710349201,41,2420.8749999999995,53259.25,22.000000000000007
62fd58f5a8cd540911f6f101,-46.6575604034,-23.5231427072,42,2265.999999999999,49851.99999999999,22.000000000000007
62fd5985a8cd540911f70b1e,-46.6577964366,-23.5233714242,43,1277.9506582770964,9456.834871250521,7.400000000000006
630f5f63799d8e6c4870ce3d,-46.680587966,-23.5914720397,44,2495.749999999999,54906.5,22.000000000000007
630f5fdc799d8e6c4870e3f0,-46.6802845805,-23.5913914652,44,2428.2499999999986,53421.49999999999,22.000000000000007
63568db3f565e27a27c02860,-46.6526472311,-23.5454321631,45,2062.9166666666656,15265.583333333336,7.400000000000004
6356ae81f565e27a27c762be,-46.6547146631,-23.5520078549,46,929.4881842985385,6878.212563809189,7.400000000000006
