charger_id,longitude,latitude,site_id,total_duration,total_volume,avg_power
9ace1443-41fe-48cc-9653-f35191a0efbb,28.04138,-26.07438,31,2603.1666666666656,156190.0,60.000000000000014
a99221ef-ca5a-4988-9dce-e8e33383a53e,28.060933,-26.075345,32,0.0,0.0,0.0
af0f80f4-3077-4622-a053-604a2727443f,28.143207,-26.121906,33,2380.999999999998,183416.08333333334,77.94091125955198
b07e3726-7091-49d7-b11b-8ce80c93bc0b,28.012146,-26.182949,34,3325.124999999999,73152.74999999999,22.000000000000007
b500e80e-1330-4b04-b668-1a9bca1f66f6,28.058908,-26.264307,35,2040.249999999999,31071.333333333336,11.887073954983926
bc78ddf4-b409-4fde-b9d1-136af5de289f,28.059509,-26.264871,36,0.0,0.0,0.0
bed503b0-8092-47ec-822d-269223e3f121,28.067586,-26.131855,37,0.0,0.0,0.0
bf4f8308-9665-4bb9-be13-9e866c04e7fc,28.030491,-26.199828,38,2262.0833333333326,49765.83333333333,22.000000000000004
c2bc1405-18d5-4178-bea3-9100c811ddbc,28.002471,-26.020942,39,2666.8921911421903,58671.62820512821,22.000000000000007
cad0d3fb-a7de-40c3-a523-01ebb4377914,27.981352,-26.089857,40,0.0,0.0,0.0
cd194a0f-00c0-4b3e-8ae0-0a7c28c49174,28.014766,-26.021323,41,1794.7083333333323,39483.583333333336,22.000000000000007
d98acec0-e973-4d32-999b-f3350802488b,27.972221,-26.127382,42,1819.6834092823312,41334.90574903701,22.781357252956937
df706fb2-8f95-432e-8416-5adb35c4c8c9,27.916732,-26.13555,43,0.0,0.0,0.0
eb959679-68e3-4fbe-88bd-91ce832ada09,27.983566,-26.026007,44,2599.2916666666656,57184.41666666667,22.000000000000007
f266cbdc-e473-4181-b246-ea98a9d7b01a,28.041484,-26.146368,45,0.0,0.0,0.0
f8f919a2-c1ce-49fa-8ae1-d631ad9cfdb4,28.023795,-26.05744,46,729.9999999999995,16059.999999999996,22.000000000000004
