site_id,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
0,28.060516,-26.082451,1,2115.7133333333322,46545.69333333333,22.000000000000007,268.3653485506221,5701.868515285754
1,28.0438805,-26.14762,2,0.0,0.0,0.0,285.6307577318437,6474.6984239751455
2,28.049705,-26.129996,1,2218.374006385965,48804.228140491236,22.000000000000007,268.42431295368294,5704.187565222887
3,28.003442,-26.099075,1,2402.374999999999,52915.09166666667,22.04279012843642,268.3859478881429,5702.6787048944525
4,28.068242,-26.133807,1,0.0,0.0,0.0,268.4290459229803,5704.373701891193
5,28.010849,-26.06252,1,2423.124999999999,53308.75,22.000000000000007,268.340676084918,5700.898091177067
6,28.119217,-26.004975,1,0.0,0.0,0.0,268.26959232118827,5698.101992678722
7,28.080058,-26.050598,1,2572.374999999999,56756.274999999994,22.060440799983564,268.32593076878584,5700.318106255729
8,28.128149,-25.983571,1,495.829317269076,10908.244979919678,22.000000000000007,268.2432096424052,5697.06414270051
9,28.074669,-25.984719,1,2317.9583333333326,50995.083333333336,22.000000000000007,268.24462388827527,5697.119777846441
10,28.052029500000003,-26.100532,4,0.0,0.0,0.0,308.1795896474466,7446.993528349686
11,28.036211,-26.143767,1,1951.0833333333323,146331.25,75.00000000000003,268.4414201357527,5704.8603442798685
12,28.012102,-26.147662,1,1230.6602369999853,27074.52521399969,22.000000000000007,268.4462610805157,5705.05072218653
13,28.068242,-26.131491,1,742.3842591055468,16332.453700322034,22.000000000000007,268.42616951129395,5704.260579481553
14,28.10846,-26.155541,1,3330.208333333332,73264.58333333333,22.000000000000007,268.4560567365478,5705.4359475848605
15,27.909479,-26.124345,1,2428.374999999999,72851.25,30.000000000000007,268.4172966606402,5703.911628172563
16,28.126367,-25.983277,3,6082.3033311710315,133822.12070639766,22.00201150387066,309.84444237153883,7547.531868695248
17,28.032744,-26.125551,1,2485.416666666666,54679.16666666666,22.000000000000007,268.4187938505285,5703.970509973556
18,27.90375,-26.128178,1,2873.148725649097,62911.17753876649,21.793168135740665,268.4220554842599,5704.098783709754
19,28.0622,-26.029306,1,2972.958333333332,222971.875,75.00000000000001,268.2996204166081,5699.283194219117
20,28.05667365,-26.09314884,1,729.9999999999995,36499.999999999985,50.00000000000001,268.3786024425371,5702.389805259
21,28.05200075,-26.108278250000005,4,8869.385099653893,242604.87379252532,31.86078243898304,348.17067135132913,9117.653370033184
22,28.127166,-25.982986500000003,2,3649.9999999999977,80300.0,11.000000000000002,281.00870508116896,6243.175308249269
23,28.038268800000004,-26.0128056,5,6890.416666666666,53039.16666666666,5.800000000000001,329.88067675153843,8440.504845183397
24,28.061281,-26.075528,1,0.0,0.0,0.0,268.35677555991003,5701.531324402102
25,28.106061,-26.018025,1,883.2445369132774,19431.37981209211,22.000000000000007,268.28569299929563,5698.735344743729
26,28.05884,-26.31455,1,2444.833333333332,145612.5,59.34283378891119,268.6546501187493,5713.2445709307
27,28.005556,-26.019409,1,2027.874999999999,112305.5,56.65252833002716,268.28740121000664,5698.802539644988
28,28.056215,-26.09666,1,2568.791666666666,56513.416666666664,22.000000000000007,268.38295422057524,5702.560963028438
29,27.883968,-26.11072,1,0.0,0.0,0.0,268.4003887454484,5703.246660401022
30,28.108778,-26.011426,1,2095.124999999999,46092.74999999999,22.000000000000007,268.27754992328147,5698.415022744613
31,28.04138,-26.07438,1,2603.1666666666656,156190.0,60.000000000000014,268.35535426618475,5701.475421964677
32,28.060933,-26.075345,1,0.0,0.0,0.0,268.3565489891683,5701.5224129104345
33,28.143207,-26.121906,1,2380.999999999998,183416.08333333334,77.94091125955198,268.4142690631191,5703.79255774987
34,28.012146,-26.182949,1,3325.124999999999,73152.74999999999,22.000000000000007,268.49016491856975,5706.7772442487685
35,28.058908,-26.264307,1,2040.249999999999,31071.333333333336,11.887073954983926,268.5917130261915,5710.770171865417
36,28.059509,-26.264871,1,0.0,0.0,0.0,268.59241856559765,5710.797911820384
37,28.067586,-26.131855,1,0.0,0.0,0.0,268.42662156609964,5704.278357751657
38,28.030491,-26.199828,1,2262.0833333333326,49765.83333333333,22.000000000000004,268.5111955990355,5707.6042349403815
39,28.002471,-26.020942,1,2666.8921911421903,58671.62820512821,22.000000000000007,268.28929347553344,5698.87697439066
40,27.981352,-26.089857,1,0.0,0.0,0.0,268.3745232515603,5702.2293674130815
41,28.014766,-26.021323,1,1794.7083333333323,39483.583333333336,22.000000000000007,268.28976378917025,5698.895474760107
42,27.972221,-26.127382,1,1819.6834092823312,41334.90574903701,22.781357252956937,268.4210671366286,5704.059913982556
43,27.916732,-26.13555,1,0.0,0.0,0.0,268.4312109240966,5704.458845880458
44,27.983566,-26.026007,1,2599.2916666666656,57184.41666666667,22.000000000000007,268.2955466118052,5699.12294811617
45,28.041484,-26.146368,1,0.0,0.0,0.0,268.4446527035951,5704.987470350249
46,28.023795,-26.05744,1,729.9999999999995,16059.999999999996,22.000000000000004,268.33439188505923,5700.650913251169
