site_id,longitude,latitude,charger_num,total_duration,total_volume,avg_power,perimeter,area
0,-118.34334941099999,33.83838206585,2,8160.041666666664,53865.59166666666,6.600496163344694,615.7606476582698,29668.50053948194
1,-118.32614,33.918377,1,5110.0,33726.00000000001,6.599999999999999,603.4134509117081,28577.351072692985
2,-118.49363432750002,34.0141748500125,4,11645.791666666662,76876.20000000001,6.6007917248933055,788.7387239781134,47145.52442549341
3,-118.378278112,34.092759575849996,2,13359.249999999996,88180.36666666667,6.600425036569296,649.9937693164952,33254.17567292307
4,-118.2772156,34.0200103,1,3535.458333333332,23334.025,6.600000000000002,603.8244467493827,28611.523725853232
5,-118.28066115,34.02289435,2,7690.791666666664,50773.2,6.601565264862777,770.0693833273538,42729.36525667221
6,-118.206220213,34.0610758354,1,5508.583333333331,36356.65,6.600000000000004,603.9911286894747,28625.38014949521
7,-118.402829535,33.9192350421,1,3098.5416666666656,20450.375,6.600000000000002,603.4169116777147,28577.638858258877
8,-118.5340728945,34.23616670945,2,1816.499999999999,21798.0,6.000000000000002,610.5798458826738,29293.651686142985
9,-118.352077549,33.8602529379,1,5228.916666666665,34529.48333333333,6.606071687183203,603.1793762444881,28557.884760864094
10,-118.64290589000001,34.16920145985,2,7971.874999999998,52623.691666666666,6.601429375063928,621.0330048094029,30389.66548950852
11,-118.4972715025,34.15852010725,2,7056.249999999998,184001.15833333333,34.44308547131699,687.0287045279453,37113.92689691685
12,-118.315243763,33.837475638,1,3145.0833333333317,20757.55,6.600000000000003,603.0878411366223,28550.27166257093
13,-118.49533401,34.1583327592,2,6526.624999999998,43075.725000000006,6.600000000000003,611.1409872599683,29342.084668696138
14,-118.34423852,33.8602834171,1,3140.0416666666656,20724.275,6.600000000000001,603.1794988035118,28557.894953957053
15,-118.353367231,33.80453687255,2,5376.624999999998,163369.925,28.238101727821793,607.5945354448695,28948.12007828645
16,-118.60715588625001,34.185246690275,4,11553.95833333333,76260.78333333334,6.600189609790517,806.4171418408155,47225.00717741619
17,-118.30688219199999,33.7979134788,2,2523.9351014270164,16657.971669418315,6.600000000000002,717.4945932975187,38292.822907821406
18,-118.30850579,33.8175870871,1,1989.5833333333328,13127.124999999998,6.599262981574543,603.0080035954516,28543.63110849708
19,-118.388084,33.845737,1,3051.0833333333326,20146.466666666664,6.603150026518167,603.1210285396661,28553.031954264177
20,-118.3766521,33.8725285,1,5207.041666666665,34454.98333333333,6.619914292061436,603.2287529777868,28561.991308233948
21,-118.3883282665,33.8447489771,2,7659.33333333333,50620.725,6.606510174753449,641.0042601201981,32434.347423515926
22,-118.34228475,33.94726225,4,9331.8953042328,61590.509007936496,6.600000000000003,1002.4964929732432,67588.69727670959
23,-118.19325635759999,33.76752316404,5,16641.583333333325,109915.55,6.6023983217414655,696.034433839684,38146.44168525572
24,-118.464959945,33.9913023097,1,1688.5833333333326,11149.308333333334,6.6034703253042,603.7081342053502,28601.85369907763
25,-118.357427437,33.8064580907,1,2285.291666666666,15082.925,6.600000000000003,602.9633650539025,28539.918114971155
26,-118.39670479,33.920673977,1,2477.0416666666656,16348.475,6.600000000000003,603.4227157255243,28578.121501890186
27,-118.466179681,34.235201235,1,2065.7083333333326,10328.541666666666,5.000000000000002,604.7018552386135,28684.4472926878
28,-118.299452029,33.8912360428,1,2032.2499999999995,13412.85,6.600000000000003,603.304062052591,28568.254342118507
29,-118.33300044,33.7915296929,1,1835.5833333333328,12114.85,6.600000000000004,602.903527590924,28534.94072515639
30,-118.386431763,33.8183423951,1,7545.499999999998,49800.3,6.600000000000002,603.011034080677,28543.88317771981
31,-118.37719403433333,33.88946835016667,3,10978.749999999996,160613.18333333332,25.184197325569567,724.6125420697668,40884.71154482134
32,-118.24527,34.047596,1,2541.624999999999,16774.725,6.600000000000004,603.9363758289597,28620.82865324153
33,-118.25518956366666,34.04048456976667,3,146770.625,968686.1250000001,6.599999999999999,748.9677901498247,42779.98467747579
34,-118.25147832133332,34.052568752700004,6,18539.159090909085,122484.22499999999,6.603614693306548,642.0357997346631,32186.64461836913
35,-118.42972369,34.0658022526,1,2374.999999999999,13628.341666666667,5.639728290686319,604.0103356976415,28626.97675290071
36,-118.430839391,34.0664628049,1,4608.374999999998,30419.93333333333,6.600662919216359,604.0130203972002,28627.199919947587
37,-118.335374712,33.8716949941,1,6002.666666666665,39631.575000000004,6.601813479143075,603.225399319461,28561.71239634028
38,-118.41391900466668,34.05963813133333,3,12364.958333333328,81618.04166666666,6.600340263005684,656.7246502313179,33290.076592917925
39,-118.41430260700001,34.0586080265,3,13874.541666666662,91651.16666666666,6.612177949669813,710.5409282694574,38561.2911746325
40,-118.60411263625,34.190917717031255,8,24424.95833333332,153412.1333333333,6.20229783934353,724.8798979494098,41013.52264082659
41,-118.6041999,34.1899053,1,2741.2916666666656,18097.18333333333,6.601642861341332,604.5163518682224,28669.032986456285
42,-118.164574025,33.8969517796,1,2320.4583333333326,15315.025000000001,6.600000000000004,603.3270859262933,28570.16904959271
43,-118.501466196,34.229026723,1,2015.041666666666,13299.275,6.600000000000003,604.6765426525121,28682.344061571388
44,-118.4079995,33.9806003,1,2700.249999999999,13501.249999999998,5.000000000000001,603.6648186000382,28598.25233319432
45,-118.198362835,33.769091433,2,6345.791666666664,41882.225000000006,6.600000000000002,610.474835330804,29324.96603559397
46,-118.37918,33.908173,1,3888.2083333333317,25675.1,6.6015193146921,603.3723066331789,28573.92960555477
47,-118.318882452,33.80466133605,2,7830.624999999997,51691.441666666666,6.601139089095517,616.3705710667549,29707.961202477585
48,-118.44491207466668,34.04623992536667,3,8359.416666666664,55181.96666666667,6.600834379509227,643.9724265191172,32339.785344545315
49,-118.255318029,34.1408218807,1,889.583333333333,10675.0,12.000000000000004,604.315829626212,28652.368687038692
