charger_id,longitude,latitude,site,total_duration,total_volume,avg_power
100059,-118.343357099,33.8383593249,0,3936.1666666666656,25983.358333333334,6.600552196933778
120369,-118.343341723,33.8384048068,0,4223.874999999999,27882.23333333333,6.600440129755609
10093961,-118.32614,33.918377,1,5110.0,33726.00000000001,6.599999999999999
10137141,-118.494086793,34.014241845,2,2505.1666666666656,16534.100000000002,6.600000000000002
731791,-118.4935793455,34.0142181746,2,3583.9166666666656,23653.850000000002,6.600000000000001
789121,-118.49354437650001,34.01417568565,2,2762.749999999999,18248.125,6.603166899573217
789381,-118.493326795,34.0140636948,2,2793.9583333333326,18440.125,6.600000000000002
10255941,-118.378187026,34.0927204901,3,6975.708333333331,46048.99166666667,6.60085007313859
10256001,-118.378369198,34.0927986616,3,6383.541666666665,42131.375,6.600000000000001
105645,-118.2772156,34.0200103,4,3535.458333333332,23334.025,6.600000000000002
105649,-118.2805344,34.0231782,5,4090.2499999999986,27009.625,6.603130529725551
155843,-118.2807879,34.0226105,5,3600.5416666666656,23763.574999999997,6.600000000000003
105653,-118.206220213,34.0610758354,6,5508.583333333331,36356.65,6.600000000000004
106159,-118.402829535,33.9192350421,7,3098.5416666666656,20450.375,6.600000000000002
10648161,-118.534060263,34.2361698497,8,1816.499999999999,21798.0,12.000000000000004
10648311,-118.534085526,34.2361635692,8,0.0,0.0,0.0
107437,-118.352077549,33.8602529379,9,5228.916666666665,34529.48333333333,6.606071687183203
107735,-118.642869511,34.1692080021,10,3266.4583333333326,21567.941666666666,6.6028587501278535
108311,-118.642942269,34.1691949176,10,4705.416666666666,31055.75,6.600000000000002
11228051,-118.497453205,34.1585375145,11,4589.541666666665,30326.158333333333,6.605878416078264
12896451,-118.4970898,34.1585027,11,2466.7083333333326,153675.0,62.28029252655571
113511,-118.315243763,33.837475638,12,3145.0833333333317,20757.55,6.600000000000003
113851,-118.495320599,34.158326933,13,3373.2499999999986,22263.45,6.600000000000003
116837,-118.49534742099999,34.1583385854,13,3153.374999999999,20812.275,6.600000000000003
114359,-118.34423852,33.8602834171,14,3140.0416666666656,20724.275,6.600000000000001
114389,-118.353369913,33.8045452304,15,2420.499999999999,15563.675000000003,6.476203455643577
124769,-118.353364549,33.8045285147,15,2956.124999999999,147806.25,50.00000000000001
11546331,-118.606834,34.185642,16,3576.624999999999,23610.383333333335,6.600758439162057
11546561,-118.607227578,34.1851162558,16,2906.4999999999986,19182.9,6.600000000000003
11546581,-118.607186544,34.1851312511,16,2904.0416666666656,19166.675000000003,6.600000000000003
11546781,-118.607375423,34.1850972542,16,2166.7916666666656,14300.825,6.600000000000004
116089,-118.306861039,33.7981246289,17,1669.5833333333326,11019.249999999998,6.600000000000003
130223,-118.306903345,33.7977023287,17,854.3517680936839,5638.721669418315,6.600000000000001
116091,-118.30850579,33.8175870871,18,1989.5833333333328,13127.124999999998,6.599262981574543
11662721,-118.388084,33.845737,19,3051.0833333333326,20146.466666666664,6.603150026518167
11662801,-118.3766521,33.8725285,20,5207.041666666665,34454.98333333333,6.619914292061436
11663501,-118.3882478,33.8447267,21,4403.541666666665,29127.841666666667,6.612146365767058
11841861,-118.388408733,33.8447712542,21,3255.7916666666656,21492.88333333333,6.60087398373984
11676261,-118.341415,33.94724,22,2919.999999999998,19271.999999999996,6.600000000000005
11679201,-118.343094,33.947407,22,1859.353637566137,12271.734007936508,6.600000000000002
11679231,-118.34255,33.947224,22,2426.5833333333326,16015.449999999999,6.600000000000002
11679321,-118.34208,33.947178,22,2125.958333333332,14031.324999999999,6.600000000000003
11761551,-118.193456063,33.767577315,23,3925.708333333332,25948.85,6.6056232076967385
11761861,-118.193063971,33.7674991851,23,3342.6249999999986,22089.275,6.603403269602829
11761921,-118.193344198,33.7675423647,23,3260.3333333333317,21532.175,6.602965131407757
